student_id,Original_ID,Gender,Grade,Question,Answer,Type,TotalScore
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,사회적 긴장,3,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,감정 기복,2,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,과도한 죄책감,2,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,과민성/짜증,2,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,낮은 자존감,2,학교생활적응 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,무기력/피로,2,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,예기 불안,3,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,과도한 불안,2,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,우울 증상,3,불안 및 우울 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,수면 문제,3,학교생활적응 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,자살 사고,3,자살 및 위기 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,자해 행동,3,자살 및 위기 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,자살 계획,3,자살 및 위기 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,심각한 자살사고,2,자살 및 위기 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,절망감,2,자살 및 위기 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,자살 시도,2,자살 및 위기 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,빈번한 거짓말,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,또래 갈등,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,반항 행동,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,괴롭힘 가해,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,외상 침습증상,3,심리외상 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,외상 관련 악몽,3,심리외상 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,외상 후 고립,3,심리외상 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,외상 후 과각성,2,심리외상 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,외상 회피행동,2,심리외상 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,흡연 문제,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,음주 문제,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,적응력 저하,3,학교생활적응 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,분리 불안,3,학교생활적응 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,학습 어려움,2,학교생활적응 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,재산 관련 비행,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,게임 과몰입,3,외현화 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,관계 형성 곤란,3,학교생활적응 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,등교 거부,3,학교생활적응 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,괴롭힘 피해,3,심리외상 문제,96
학생01 ,-ObjIPgdIfukpAunPkQd,girl,2학년,따돌림 피해,3,심리외상 문제,96
학생02 ,-ObjPUuS0biUY2xoLYJm,girl,1학년,사회적 긴장,1,불안 및 우울 문제,27
학생02 ,-ObjPUuS0biUY2xoLYJm,girl,1학년,감정 기복,0,불안 및 우울 문제,27
학생02 ,-ObjPUuS0biUY2xoLYJm,girl,1학년,과도한 죄책감,1,불안 및 우울 문제,27
학생02 ,-ObjPUuS0biUY2xoLYJm,girl,1학년,과민성/짜증,3,불안 및 우울 문제,27
학생02 ,-ObjPUuS0biUY2xoLYJm,girl,1학년,낮은 자존감,2,학교생활적응 문제,27
학생02 ,-ObjPUuS0biUY2xoLYJm,girl,1학년,무기력/피로,1,불안 및 우울 문제,27
